,delegator_address,validator_address,shares,operator_address,moniker,website,details,tokens,jailed
8,cosmos1unc788q8md2jymsns24eyhua58palg5kc7cstv,cosmosvaloper1ff0dw8kawsnxkrgj7p65kvw7jxxakyf8n583gx,234970000000.000000000000000000,cosmosvaloper1w42lm7zv55jrh5ggpecg0v643qeatfkd9aqf3f,mythos-legacy,https://mythos.services,Staking and validator services for crypto networks,36880080,TRUE
8,cosmos1z8mzakma7vnaajysmtkwt4wgjqr2m84tzvyfkz,cosmosvaloper1x065cjlgejk2p2la0029akfvdy52gtq9mm58ta,100000000000.000000000000000000,cosmosvaloper1w42lm7zv55jrh5ggpecg0v643qeatfkd9aqf3f,mythos-legacy,https://mythos.services,Staking and validator services for crypto networks,36880080,TRUE
9,cosmos1unc788q8md2jymsns24eyhua58palg5kc7cstv,cosmosvaloper1fhr7e04ct0zslmkzqt9smakg3sxrdve6ulclj2,972000.000000000000000000,cosmosvaloper1we6knm8qartmmh2r0qfpsz6pq0s7emv3e0meuw,Staked,https://staked.us/,"Staked operates highly available and highly secure, institutional grade staking infrastructure for leading proof-of-stake (PoS) protocols.",1037052489135,FALSE
9,cosmos1z8mzakma7vnaajysmtkwt4wgjqr2m84tzvyfkz,cosmosvaloper1fqzqejwkk898fcslw4z4eeqjzesynvrdfr5hte,300000000000.000000000000000000,cosmosvaloper1we6knm8qartmmh2r0qfpsz6pq0s7emv3e0meuw,Staked,https://staked.us/,"Staked operates highly available and highly secure, institutional grade staking infrastructure for leading proof-of-stake (PoS) protocols.",1037052489135,FALSE
10,cosmos1unc788q8md2jymsns24eyhua58palg5kc7cstv,cosmosvaloper1f63lrmnn4upu722kxdhw04taxa6w50lnar88dx,0.000000000000000001,cosmosvaloper1w6em34qympp59ecdu4ef4f5elcdlyp787tahxd,bantest,,,500000,FALSE
10,cosmos1z8mzakma7vnaajysmtkwt4wgjqr2m84tzvyfkz,cosmosvaloper1ff0dw8kawsnxkrgj7p65kvw7jxxakyf8n583gx,100000000000.000000000000000000,cosmosvaloper1w6em34qympp59ecdu4ef4f5elcdlyp787tahxd,bantest,,,500000,FALSE
11,cosmos1unc788q8md2jymsns24eyhua58palg5kc7cstv,cosmosvaloper1tr5var87ga3fyy9d0r76uurpmkfm05rg37xacn,0.970600519315353000,cosmosvaloper1wukx88lfn7l4gfmrgsy96h6kf5tvrv3ucg502l,#NGC StakeX,https://www.ngc.fund/,NGC StakeX IS BACKING COSMOS! IRIS! LOOM! TOMO!,32976606,TRUE
11,cosmos1z8mzakma7vnaajysmtkwt4wgjqr2m84tzvyfkz,cosmosvaloper1fhr7e04ct0zslmkzqt9smakg3sxrdve6ulclj2,100000000000.000000000000000000,cosmosvaloper1wukx88lfn7l4gfmrgsy96h6kf5tvrv3ucg502l,#NGC StakeX,https://www.ngc.fund/,NGC StakeX IS BACKING COSMOS! IRIS! LOOM! TOMO!,32976606,TRUE
12,cosmos1unc788q8md2jymsns24eyhua58palg5kc7cstv,cosmosvaloper1tflk30mq5vgqjdly92kkhhq3raev2hnz6eete3,5000950000.000000000000000000,cosmosvaloper1wa9zrywwzzwcvarngjq3rrhv6z9gzw4htq3sv3,BTC.Secure,https://btcsecure.io,Staking-as-a-Service Provider. Secure and reliable validator infrastructure with 50+ servers in 11 countries.,29686143,TRUE
12,cosmos1z8mzakma7vnaajysmtkwt4wgjqr2m84tzvyfkz,cosmosvaloper12w6tynmjzq4l8zdla3v4x0jt8lt4rcz5gk7zg2,100000000000.000000000000000000,cosmosvaloper1wa9zrywwzzwcvarngjq3rrhv6z9gzw4htq3sv3,BTC.Secure,https://btcsecure.io,Staking-as-a-Service Provider. Secure and reliable validator infrastructure with 50+ servers in 11 countries.,29686143,TRUE
13,cosmos1unc788q8md2jymsns24eyhua58palg5kc7cstv,cosmosvaloper1ttfytaf43nkytzp8hkfjfgjc693ky4t3y2n2ku,34998000000.000000000000000000,cosmosvaloper1wauge4px27c257nfn4k3329wteddqw7gs3n66u,DappPub,https://dapp.pub,"DappPub, Unleashing the Power of DApps",100010569562,TRUE
13,cosmos1z8mzakma7vnaajysmtkwt4wgjqr2m84tzvyfkz,cosmosvaloper124maqmcqv8tquy764ktz7cu0gxnzfw54n3vww8,100000000000.000000000000000000,cosmosvaloper1wauge4px27c257nfn4k3329wteddqw7gs3n66u,DappPub,https://dapp.pub,"DappPub, Unleashing the Power of DApps",100010569562,TRUE
14,cosmos1unc788q8md2jymsns24eyhua58palg5kc7cstv,cosmosvaloper1te8nxpc2myjfrhaty0dnzdhs5ahdh5agzuym9v,175248805456.000000000000000000,cosmosvaloper1wlpz5hau2ezu0gmuxav63m53d8s77az9wfzlt6,🤑 uGaenn ⛅,ugaenn.io,Your Gain is Our First Priority,65832845768,FALSE
14,cosmos1z8mzakma7vnaajysmtkwt4wgjqr2m84tzvyfkz,cosmosvaloper1ttfytaf43nkytzp8hkfjfgjc693ky4t3y2n2ku,33000000000.000000000000000000,cosmosvaloper1wlpz5hau2ezu0gmuxav63m53d8s77az9wfzlt6,🤑 uGaenn ⛅,ugaenn.io,Your Gain is Our First Priority,65832845768,FALSE
15,cosmos1unc788q8md2jymsns24eyhua58palg5kc7cstv,cosmosvaloper1vz0clw0mqw5cjvmk38hg6nakkmvwugxrrhjhkg,0.678027061518663000,cosmosvaloper1wlagucxdxvsmvj6330864x8q3vxz4x02rmvmsu,DSRV,https://dsrvlabs.com,,45845022560,FALSE
15,cosmos1z8mzakma7vnaajysmtkwt4wgjqr2m84tzvyfkz,cosmosvaloper1d0aup392g3enru7eash83sedqclaxvp7fzh6gk,100010000925.525000000000000000,cosmosvaloper1wlagucxdxvsmvj6330864x8q3vxz4x02rmvmsu,DSRV,https://dsrvlabs.com,,45845022560,FALSE
16,cosmos1unc788q8md2jymsns24eyhua58palg5kc7cstv,cosmosvaloper1d0aup392g3enru7eash83sedqclaxvp7fzh6gk,21040000000.000000000000000000,cosmosvaloper1083svrca4t350mphfv9x45wq9asrs60cdmrflj,notional,,,164289525993,FALSE
16,cosmos1z8mzakma7vnaajysmtkwt4wgjqr2m84tzvyfkz,cosmosvaloper1de7qx00pz2j6gn9k88ntxxylelkazfk3g8fgh9,33000000000.000000000000000000,cosmosvaloper1083svrca4t350mphfv9x45wq9asrs60cdmrflj,notional,,,164289525993,FALSE
17,cosmos1unc788q8md2jymsns24eyhua58palg5kc7cstv,cosmosvaloper1wp9jne5t3e4au7u8gfep90g59j0qdhpeqvlg7n,50000985000.000000000000000000,cosmosvaloper10f9wkd6vdspac05djyfwfx0uxcqxapnqhnkcg8,Tavis Digital,https://tavis-digital.com,Swiss Asset Manager,96020565938,FALSE
17,cosmos1z8mzakma7vnaajysmtkwt4wgjqr2m84tzvyfkz,cosmosvaloper1wp9jne5t3e4au7u8gfep90g59j0qdhpeqvlg7n,33000000000.000000000000000000,cosmosvaloper10f9wkd6vdspac05djyfwfx0uxcqxapnqhnkcg8,Tavis Digital,https://tavis-digital.com,Swiss Asset Manager,96020565938,FALSE
18,cosmos1unc788q8md2jymsns24eyhua58palg5kc7cstv,cosmosvaloper1wtv0kp6ydt03edd8kyr5arr4f3yc52vp3u2x3u,247700000000.000000000000000000,cosmosvaloper102zp2v3ysn8nhuk5q7lvxzsthg8usmw2c0s405,Validatrium.com - 0% fee,https://validatrium.com,Stake with us!,41500000,FALSE
18,cosmos1z8mzakma7vnaajysmtkwt4wgjqr2m84tzvyfkz,cosmosvaloper1wtv0kp6ydt03edd8kyr5arr4f3yc52vp3u2x3u,100000000000.000000000000000000,cosmosvaloper102zp2v3ysn8nhuk5q7lvxzsthg8usmw2c0s405,Validatrium.com - 0% fee,https://validatrium.com,Stake with us!,41500000,FALSE
19,cosmos1unc788q8md2jymsns24eyhua58palg5kc7cstv,cosmosvaloper1wdrypwex63geqswmcy5qynv4w3z3dyef2qmyna,25750000.000000000000000000,cosmosvaloper102ruvpv2srmunfffxavttxnhezln6fnc54at8c,Ztake.org,https://ztake.org/,Support reliable independent validator,631819309179,FALSE
19,cosmos1z8mzakma7vnaajysmtkwt4wgjqr2m84tzvyfkz,cosmosvaloper1wdrypwex63geqswmcy5qynv4w3z3dyef2qmyna,100000000000.000000000000000000,cosmosvaloper102ruvpv2srmunfffxavttxnhezln6fnc54at8c,Ztake.org,https://ztake.org/,Support reliable independent validator,631819309179,FALSE
20,cosmos1unc788q8md2jymsns24eyhua58palg5kc7cstv,cosmosvaloper1w0330zv7quttes76vmdhda3tnz045uqs37wfx0,234395558103.000000000000000000,cosmosvaloper10wz6lfhmqfw6egg0062ytnawaj6vr89ly5g4yg,BitMax Staking,https://bitmax.io/,Trading Platform Industry Leader driven by Product Innovation,1489558,TRUE
20,cosmos1z8mzakma7vnaajysmtkwt4wgjqr2m84tzvyfkz,cosmosvaloper1wauge4px27c257nfn4k3329wteddqw7gs3n66u,100000000000.000000000000000000,cosmosvaloper10wz6lfhmqfw6egg0062ytnawaj6vr89ly5g4yg,BitMax Staking,https://bitmax.io/,Trading Platform Industry Leader driven by Product Innovation,1489558,TRUE
21,cosmos1unc788q8md2jymsns24eyhua58palg5kc7cstv,cosmosvaloper1w0494h0l4mneaq7ajkrcjvn73m2n04l87j2nst,1.663518149706450000,cosmosvaloper1000ya26q2cmh399q4c5aaacd9lmmdqp90kw2jn,Staking Fund,https://staking.fund,We've been actively engaging in the validating role for numerous novel Proof-of-Stake protocols since early 2018 and proving our commitment to secure decentralized blockchain networks with high availability and zero slashing.,479232737928,FALSE
21,cosmos1z8mzakma7vnaajysmtkwt4wgjqr2m84tzvyfkz,cosmosvaloper102ruvpv2srmunfffxavttxnhezln6fnc54at8c,100000000000.000000000000000000,cosmosvaloper1000ya26q2cmh399q4c5aaacd9lmmdqp90kw2jn,Staking Fund,https://staking.fund,We've been actively engaging in the validating role for numerous novel Proof-of-Stake protocols since early 2018 and proving our commitment to secure decentralized blockchain networks with high availability and zero slashing.,479232737928,FALSE
22,cosmos1unc788q8md2jymsns24eyhua58palg5kc7cstv,cosmosvaloper1w42lm7zv55jrh5ggpecg0v643qeatfkd9aqf3f,0.520290334573065000,cosmosvaloper103agss48504gkk3la5xcg5kxplaf6ttnuv234h,MANTRA DAO,https://mantradao.com,Stake and Grow Wealth Together!,65724186675,FALSE
22,cosmos1z8mzakma7vnaajysmtkwt4wgjqr2m84tzvyfkz,cosmosvaloper1000ya26q2cmh399q4c5aaacd9lmmdqp90kw2jn,100000000000.000000000000000000,cosmosvaloper103agss48504gkk3la5xcg5kxplaf6ttnuv234h,MANTRA DAO,https://mantradao.com,Stake and Grow Wealth Together!,65724186675,FALSE
23,cosmos1unc788q8md2jymsns24eyhua58palg5kc7cstv,cosmosvaloper1we6knm8qartmmh2r0qfpsz6pq0s7emv3e0meuw,7692307692.000000000000000000,cosmosvaloper10nzaaeh2kq28t3nqsh5m8kmyv90vx7ym5mpakx,Blockdaemon,https://blockdaemon.com/node-marketplace/#staking,"Blockdaemon provides maximum uptime for the Cosmos network so that you can be confident your node will be there, ready and secure, for optimal reward generation. Contact us to stake on Cosmos today.",545117847146,FALSE
23,cosmos1z8mzakma7vnaajysmtkwt4wgjqr2m84tzvyfkz,cosmosvaloper10e4vsut6suau8tk9m6dnrm0slgd6npe3jx5xpv,300000000000.000000000000000000,cosmosvaloper10nzaaeh2kq28t3nqsh5m8kmyv90vx7ym5mpakx,Blockdaemon,https://blockdaemon.com/node-marketplace/#staking,"Blockdaemon provides maximum uptime for the Cosmos network so that you can be confident your node will be there, ready and secure, for optimal reward generation. Contact us to stake on Cosmos today.",545117847146,FALSE
24,cosmos1unc788q8md2jymsns24eyhua58palg5kc7cstv,cosmosvaloper102ruvpv2srmunfffxavttxnhezln6fnc54at8c,175248805456.000000000000000000,cosmosvaloper10e4vsut6suau8tk9m6dnrm0slgd6npe3jx5xpv,B-Harvest,https://bharvest.io,"B-Harvest focus on the value of high standard security & stability, active community participation on Cosmos Network, and real world practical use-case of blockchain technology.",2862600126059,FALSE
24,cosmos1z8mzakma7vnaajysmtkwt4wgjqr2m84tzvyfkz,cosmosvaloper1sxx9mszve0gaedz5ld7qdkjkfv8z992ax69k08,300000000000.000000000000000000,cosmosvaloper10e4vsut6suau8tk9m6dnrm0slgd6npe3jx5xpv,B-Harvest,https://bharvest.io,"B-Harvest focus on the value of high standard security & stability, active community participation on Cosmos Network, and real world practical use-case of blockchain technology.",2862600126059,FALSE
25,cosmos1unc788q8md2jymsns24eyhua58palg5kc7cstv,cosmosvaloper1000ya26q2cmh399q4c5aaacd9lmmdqp90kw2jn,175248805456.000000000000000000,cosmosvaloper106kt5cmued596rqusmthfnh39h38k64e73fxce,SG_NODE,,,1000611,FALSE
25,cosmos1z8mzakma7vnaajysmtkwt4wgjqr2m84tzvyfkz,cosmosvaloper1s05va5d09xlq3et8mapsesqh6r5lqy7mkhwshm,100000000000.000000000000000000,cosmosvaloper106kt5cmued596rqusmthfnh39h38k64e73fxce,SG_NODE,,,1000611,FALSE
26,cosmos1unc788q8md2jymsns24eyhua58palg5kc7cstv,cosmosvaloper10e4vsut6suau8tk9m6dnrm0slgd6npe3jx5xpv,70937801794.000000000000000000,cosmosvaloper10m2qyuzp2smf4wqpfzhvlrun9vnf7ts8c72akw,biki-cosval,,,999900,TRUE
26,cosmos1z8mzakma7vnaajysmtkwt4wgjqr2m84tzvyfkz,cosmosvaloper1ssm0d433seakyak8kcf93yefhknjleeds4y3em,300000000000.000000000000000000,cosmosvaloper10m2qyuzp2smf4wqpfzhvlrun9vnf7ts8c72akw,biki-cosval,,,999900,TRUE
27,cosmos1unc788q8md2jymsns24eyhua58palg5kc7cstv,cosmosvaloper1sd4tl9aljmmezzudugs7zlaya7pg2895ws8tfs,50000500000.000000000000000000,cosmosvaloper1sxx9mszve0gaedz5ld7qdkjkfv8z992ax69k08,e-Money.com // validator.network,https://e-money.com,Service offered by https://validator.network. See website for terms of service.,937675460066,FALSE
27,cosmos1z8mzakma7vnaajysmtkwt4wgjqr2m84tzvyfkz,cosmosvaloper1slt7tkd7srlaxnt8vk6uff7j3mc7pk233rs0r5,33000000000.000000000000000000,cosmosvaloper1sxx9mszve0gaedz5ld7qdkjkfv8z992ax69k08,e-Money.com // validator.network,https://e-money.com,Service offered by https://validator.network. See website for terms of service.,937675460066,FALSE
28,cosmos1unc788q8md2jymsns24eyhua58palg5kc7cstv,cosmosvaloper1s05va5d09xlq3et8mapsesqh6r5lqy7mkhwshm,74914598049.000000000000000000,cosmosvaloper1sx8wwjyzxsu02mkld488nps8p8anlsr47ygka5,axepool,,,1099900,TRUE
28,cosmos1z8mzakma7vnaajysmtkwt4wgjqr2m84tzvyfkz,cosmosvaloper132juzk0gdmwuxvx4phug7m3ymyatxlh9734g4w,100000000000.000000000000000000,cosmosvaloper1sx8wwjyzxsu02mkld488nps8p8anlsr47ygka5,axepool,,,1099900,TRUE
29,cosmos1unc788q8md2jymsns24eyhua58palg5kc7cstv,cosmosvaloper1ssm0d433seakyak8kcf93yefhknjleeds4y3em,36499000000.000000000000000000,cosmosvaloper1sd4tl9aljmmezzudugs7zlaya7pg2895ws8tfs,InfStones (Infinity Stones),https://infstones.io,Fueling Blockchain Beyond Infinity!,2129559970827,FALSE
29,cosmos1z8mzakma7vnaajysmtkwt4wgjqr2m84tzvyfkz,cosmosvaloper1jxv0u20scum4trha72c7ltfgfqef6nsch7q6cu,100000000000.000000000000000000,cosmosvaloper1sd4tl9aljmmezzudugs7zlaya7pg2895ws8tfs,InfStones (Infinity Stones),https://infstones.io,Fueling Blockchain Beyond Infinity!,2129559970827,FALSE
30,cosmos1unc788q8md2jymsns24eyhua58palg5kc7cstv,cosmosvaloper1s6t3wzx6mcv3pjg5fp2ddzplm3gj4pg6d330wg,239819000000.000000000000000000,cosmosvaloper1s05va5d09xlq3et8mapsesqh6r5lqy7mkhwshm,Wetez,https://www.wetez.io,Wetez is the most professional team in the POS ( Proof of Stake) field.Wetez是POS领域最专业的团队，为POS带来的权益做更多赋能。,188329618923,FALSE
30,cosmos1z8mzakma7vnaajysmtkwt4wgjqr2m84tzvyfkz,cosmosvaloper1j0vaeh27t4rll7zhmarwcuq8xtrmvqhudrgcky,300000000000.000000000000000000,cosmosvaloper1s05va5d09xlq3et8mapsesqh6r5lqy7mkhwshm,Wetez,https://www.wetez.io,Wetez is the most professional team in the POS ( Proof of Stake) field.Wetez是POS领域最专业的团队，为POS带来的权益做更多赋能。,188329618923,FALSE
31,cosmos1unc788q8md2jymsns24eyhua58palg5kc7cstv,cosmosvaloper1s65zmn32zugl57ysj47s7vmfcek0rtd7he7wde,191193473123.000000000000000000,cosmosvaloper1ssm0d433seakyak8kcf93yefhknjleeds4y3em,IRISnet-Bianjie,https://irisnet.org/irisnet-bianjie,Interchain Service Hub for NextGen Distributed Applications.,1355671519038,FALSE
31,cosmos1z8mzakma7vnaajysmtkwt4wgjqr2m84tzvyfkz,cosmosvaloper1jlr62guqwrwkdt4m3y00zh2rrsamhjf9num5xr,300000000000.000000000000000000,cosmosvaloper1ssm0d433seakyak8kcf93yefhknjleeds4y3em,IRISnet-Bianjie,https://irisnet.org/irisnet-bianjie,Interchain Service Hub for NextGen Distributed Applications.,1355671519038,FALSE
32,cosmos1unc788q8md2jymsns24eyhua58palg5kc7cstv,cosmosvaloper1slt7tkd7srlaxnt8vk6uff7j3mc7pk233rs0r5,500000.000000000000000000,cosmosvaloper1sjllsnramtg3ewxqwwrwjxfgc4n4ef9u2lcnj0,🐠stake.fish,stake.fish,We are the leading staking service provider for blockchain projects. Join our community to help secure networks and earn rewards. We know staking.,10472460857425,FALSE
32,cosmos1z8mzakma7vnaajysmtkwt4wgjqr2m84tzvyfkz,cosmosvaloper15r4tc0m6hc7z8drq3dzlrtcs6rq2q9l2nvwher,300000000000.000000000000000000,cosmosvaloper1sjllsnramtg3ewxqwwrwjxfgc4n4ef9u2lcnj0,🐠stake.fish,stake.fish,We are the leading staking service provider for blockchain projects. Join our community to help secure networks and earn rewards. We know staking.,10472460857425,FALSE
33,cosmos1unc788q8md2jymsns24eyhua58palg5kc7cstv,cosmosvaloper13sduv92y3xdhy3rpmhakrc3v7t37e7ps9l0kpv,16529538034.000000000000000000,cosmosvaloper1skhpmqtr8nw2takaduwh4ve5zk9pm5h5tnwlsx,Appeal2Heaven,,,1000000,TRUE
33,cosmos1z8mzakma7vnaajysmtkwt4wgjqr2m84tzvyfkz,cosmosvaloper15jlcxs57cku65nrve3hfjlmcr8kaavxcn30mz2,33000000000.000000000000000000,cosmosvaloper1skhpmqtr8nw2takaduwh4ve5zk9pm5h5tnwlsx,Appeal2Heaven,,,1000000,TRUE
34,cosmos1unc788q8md2jymsns24eyhua58palg5kc7cstv,cosmosvaloper1jxv0u20scum4trha72c7ltfgfqef6nsch7q6cu,175248805456.000000000000000000,cosmosvaloper1skhguug7ffln3wekpmjmnnneu8wqfg3yk2uchv,Gentarium Validator,https://mn.gtmcoin.io/validators/cosmos,,3499402,TRUE
34,cosmos1z8mzakma7vnaajysmtkwt4wgjqr2m84tzvyfkz,cosmosvaloper15urq2dtp9qce4fyc85m6upwm9xul3049e02707,300000000000.000000000000000000,cosmosvaloper1skhguug7ffln3wekpmjmnnneu8wqfg3yk2uchv,Gentarium Validator,https://mn.gtmcoin.io/validators/cosmos,,3499402,TRUE
35,cosmos1unc788q8md2jymsns24eyhua58palg5kc7cstv,cosmosvaloper1j0vaeh27t4rll7zhmarwcuq8xtrmvqhudrgcky,197480220000.000000000000000000,cosmosvaloper1s6x9fy4wc49wj9jx4jv6czredqsmp46h7vnk2q,SNZPool,https://snzholding.com,"SNZ is a crypto assets capital, consulting agency, community builder and professional & reliable POS validator for a dozen of projects like Cosmos, IRISnet, EOS, ONT, Loom, etc.",63666175484,FALSE
35,cosmos1z8mzakma7vnaajysmtkwt4wgjqr2m84tzvyfkz,cosmosvaloper14kn0kk33szpwus9nh8n87fjel8djx0y070ymmj,300000000000.000000000000000000,cosmosvaloper1s6x9fy4wc49wj9jx4jv6czredqsmp46h7vnk2q,SNZPool,https://snzholding.com,"SNZ is a crypto assets capital, consulting agency, community builder and professional & reliable POS validator for a dozen of projects like Cosmos, IRISnet, EOS, ONT, Loom, etc.",63666175484,FALSE
36,cosmos1unc788q8md2jymsns24eyhua58palg5kc7cstv,cosmosvaloper1n5pu2rtz4e2skaeatcmlexza7kheedzh8a2680,234861440000.000000000000000000,cosmosvaloper1s6t3wzx6mcv3pjg5fp2ddzplm3gj4pg6d330wg,omega3,,,239914740003,FALSE
36,cosmos1z8mzakma7vnaajysmtkwt4wgjqr2m84tzvyfkz,cosmosvaloper1kgddca7qj96z0qcxr2c45z73cfl0c75p7f3s2e,300000000000.000000000000000000,cosmosvaloper1s6t3wzx6mcv3pjg5fp2ddzplm3gj4pg6d330wg,omega3,,,239914740003,FALSE
37,cosmos1unc788q8md2jymsns24eyhua58palg5kc7cstv,cosmosvaloper15r4tc0m6hc7z8drq3dzlrtcs6rq2q9l2nvwher,175248805456.000000000000000000,cosmosvaloper1s65zmn32zugl57ysj47s7vmfcek0rtd7he7wde,firstblock,https://firstblock.io,You Delegate. We Validate.,255463313251,FALSE
37,cosmos1z8mzakma7vnaajysmtkwt4wgjqr2m84tzvyfkz,cosmosvaloper1hvsdf03tl6w5pnfvfv5g8uphjd4wfw2h4gvnl7,100010000672.263000000000000000,cosmosvaloper1s65zmn32zugl57ysj47s7vmfcek0rtd7he7wde,firstblock,https://firstblock.io,You Delegate. We Validate.,255463313251,FALSE
38,cosmos1unc788q8md2jymsns24eyhua58palg5kc7cstv,cosmosvaloper14kn0kk33szpwus9nh8n87fjel8djx0y070ymmj,90647365000.000000000000000000,cosmosvaloper1s7jnk7t6yqzensdgpvkvkag022udk842qdjdtd,Blockscale,https://blockscale.net,Planet-scale blockchain infrastructure.,141446080253,FALSE
38,cosmos1z8mzakma7vnaajysmtkwt4wgjqr2m84tzvyfkz,cosmosvaloper1hjct6q7npsspsg3dgvzk3sdf89spmlpfdn6m9d,300000000000.000000000000000000,cosmosvaloper1s7jnk7t6yqzensdgpvkvkag022udk842qdjdtd,Blockscale,https://blockscale.net,Planet-scale blockchain infrastructure.,141446080253,FALSE
