Txhash,Blockno,UnixTimestamp,DateTime (UTC),ParentTxFrom,ParentTxTo,ParentTxETH_Value,From,TxTo,ContractAddress,Value_IN(ETH),Value_OUT(ETH),CurrentValue @ $1651.53701980167/Eth,Historical $Price/Eth,Status,ErrCode,Type,
0x1305b5533af94cd7fb9bf42c817bf12485c9189b607f30e85a0ebbe529469990,3482549,1491413364,2017-04-05 17:29:24,0xd201be7d1e614486b07ddcd0d7b68c01413ff979,0xa8855be2f7142f1485a958ca4135a7ee2752c732,0.1,0xa8855be2f7142f1485a958ca4135a7ee2752c732,0xe825363f3bedabc95b2a9d42dbc73ec7b82b57d3,,0.1,0,165.153701980167,44.90,0,,call,
0xbac2fcd703e0a260e36c10bf56395c9138aef2a266a8ddc9316a4ac9aaa53eb9,3482978,1491419614,2017-04-05 19:13:34,0xd201be7d1e614486b07ddcd0d7b68c01413ff979,0xa8855be2f7142f1485a958ca4135a7ee2752c732,0.1,0xa8855be2f7142f1485a958ca4135a7ee2752c732,0xe825363f3bedabc95b2a9d42dbc73ec7b82b57d3,,0.1,0,165.153701980167,44.90,0,,call,
0xfa9e926862569534d88fe91053d5f34b1b6b3872a160bd714f2321cc6a805588,3483295,1491423973,2017-04-05 20:26:13,0xd201be7d1e614486b07ddcd0d7b68c01413ff979,0xa8855be2f7142f1485a958ca4135a7ee2752c732,0.1,0xa8855be2f7142f1485a958ca4135a7ee2752c732,0xe825363f3bedabc95b2a9d42dbc73ec7b82b57d3,,0.1,0,165.153701980167,44.90,0,,call,
0xa1ef4d71cf1cf10b7a8c994bc5fecdccb2cad31360ab3a579b7a713478e0b75c,3483755,1491430694,2017-04-05 22:18:14,0x57f24c0e2aaca9d54a4ab0a83d2ff8dc6473c6ca,0xe825363f3bedabc95b2a9d42dbc73ec7b82b57d3,0,0xe825363f3bedabc95b2a9d42dbc73ec7b82b57d3,0x57f24c0e2aaca9d54a4ab0a83d2ff8dc6473c6ca,,0,0.0000000001,0.000000165153701980167,44.90,0,,call,
0xe83e0cfff079b4113459caea69e4e6f8ce96bc2fd07e901e0ee35ce2244a61a0,3483835,1491431801,2017-04-05 22:36:41,0x13adf7762bbc0a2f23bedcdac4b5a1f65307c502,0xe825363f3bedabc95b2a9d42dbc73ec7b82b57d3,0,0xe825363f3bedabc95b2a9d42dbc73ec7b82b57d3,0x57f24c0e2aaca9d54a4ab0a83d2ff8dc6473c6ca,,0,0.00000000000001,0.0000000000165153701980167,44.90,0,,call,
0x665cd9bd6f61f0b49d1f8c81f2cd056157339eaf3e602718ef4e9cc609e22fef,3484385,1491439868,2017-04-06 00:51:08,0x9a6a1826c513d93093bee431d9d97eacf76384ba,0xcf965cfe7c30323e9c9e41d4e398e2167506f764,0.2,0xcf965cfe7c30323e9c9e41d4e398e2167506f764,0xe825363f3bedabc95b2a9d42dbc73ec7b82b57d3,,0.2,0,330.307403960334,43.23,0,,call,
0x44c4280348989b491d8225ec6843d4464a3a6fb62c0646739a0b4cc50b2467a1,3484777,1491445512,2017-04-06 02:25:12,0xd201be7d1e614486b07ddcd0d7b68c01413ff979,0xcf965cfe7c30323e9c9e41d4e398e2167506f764,0.2,0xcf965cfe7c30323e9c9e41d4e398e2167506f764,0xe825363f3bedabc95b2a9d42dbc73ec7b82b57d3,,0.2,0,330.307403960334,43.23,0,,call,
0xfe0a5535a6b0db8cdb77c4a45b46b31a3d42d51e08d005cd7ab47b9c8552cddb,3484871,1491447242,2017-04-06 02:54:02,0xd201be7d1e614486b07ddcd0d7b68c01413ff979,0xcf965cfe7c30323e9c9e41d4e398e2167506f764,0.2,0xcf965cfe7c30323e9c9e41d4e398e2167506f764,0xe825363f3bedabc95b2a9d42dbc73ec7b82b57d3,,0.2,0,330.307403960334,43.23,0,,call,
0xb607f1dd7e581e52b8e9af3b08bb56392d9488d4ce9762875d25c15c4129da44,3485326,1491453877,2017-04-06 04:44:37,0xd201be7d1e614486b07ddcd0d7b68c01413ff979,0xcf965cfe7c30323e9c9e41d4e398e2167506f764,0.2,0xcf965cfe7c30323e9c9e41d4e398e2167506f764,0xe825363f3bedabc95b2a9d42dbc73ec7b82b57d3,,0.2,0,330.307403960334,43.23,0,,call,
0x26f057a2e0401e9ba2c7f44a925f5bc6865d5fbe91e1ed54d5d8577092d592f1,3485393,1491454907,2017-04-06 05:01:47,0xd201be7d1e614486b07ddcd0d7b68c01413ff979,0xcf965cfe7c30323e9c9e41d4e398e2167506f764,0.21,0xcf965cfe7c30323e9c9e41d4e398e2167506f764,0xe825363f3bedabc95b2a9d42dbc73ec7b82b57d3,,0.21,0,346.822774158351,43.23,0,,call,
